user_id,birthdate,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,age,account_age,total_sesions,total_trips,flight_bookings,return_flight_bookings,hotel_bookings,combo_bookings,cancellations,avg_page_clicks,avg_page_clicks_flight_booked,avg_page_clicks_hotel_booked,avg_seats_booked,avg_flight_amount,total_flight_amount,avg_flight_discount,total_flight_discount,avg_cents_km_flown,avg_hotel_amount,total_hotel_amount,discount_sensitivity,avg_hotel_discount,total_hotel_discount,avg_hotel_nights,total_hotel_nights,avg_checked_bags,total_checked_bags,avg_distance_flown,total_distance_flown,avg_trip_lead_time,avg_trip_duration,weekdays_travelled,weekends_travelled,pct_only_flight_booked,pct_only_hotel_booked,pct_return_flight_booked,weekends_ratio
23557,1958-12-08,F,True,False,usa,new york,LGA,40.777,-73.872,2021-07-22,67.0,4.698151950718686,8,2,0,0,2,0,0,10.25,,9.5,,,0.0,,0.0,,1901.0,3802.0,0.125,131.5,131.5,10.0,20,,0.0,,0.0,12.0,,0.0,0.0,0.0,1.0,,
94883,1972-03-16,F,True,False,usa,kansas city,MCI,39.297,-94.714,2022-02-07,54.0,4.1505817932922655,8,2,2,2,2,2,0,9.125,24.0,24.0,1.5,743.63,1487.26,,0.0,29.04040009380369,115.0,230.0,0.0,,0.0,1.0,2,0.5,1.0,1455.3872113045395,2910.774422609079,6.5,1.5,2.0,1.0,0.0,0.0,1.0,0.3333333333333333
101486,1972-12-07,F,True,True,usa,tacoma,TCM,47.138,-122.476,2022-02-17,53.0,4.123203285420945,8,2,1,1,2,1,0,16.375,21.0,21.0,1.0,189.91,189.91,,0.0,19.641101794267257,1226.0,2452.0,0.0,,0.0,4.5,9,0.0,0.0,966.9009508185021,966.9009508185021,7.5,4.0,2.0,2.0,0.0,0.5,1.0,0.5
101961,1980-09-14,F,True,False,usa,boston,BOS,42.364,-71.005,2022-02-17,45.0,4.123203285420945,8,5,5,5,5,5,0,15.75,20.8,20.8,1.0,248.532,1242.66,4.9670000000000005,4.9670000000000005,18.218591301086178,559.6,2798.0,0.125,,0.0,4.4,22,0.4,2.0,1324.3623609701458,6621.811804850729,5.6,4.8,14.0,10.0,0.0,0.0,1.0,0.4166666666666667
106907,1978-11-17,F,True,True,usa,miami,TNT,25.862,-80.897,2022-02-24,47.0,4.1040383299110195,8,1,1,1,1,1,1,30.0,23.0,23.0,6.0,83412.36,166824.72,,0.0,103.72461435015329,,0.0,0.125,,0.0,,0,5.0,10.0,13402.855327154519,26805.710654309038,198.5,13.0,18.0,8.0,0.0,0.0,1.0,0.3076923076923077
118043,1972-05-04,F,False,True,usa,los angeles,LAX,33.942,-118.408,2022-03-10,53.0,4.0657084188911705,8,5,3,3,4,2,0,20.5,32.666666666666664,29.25,2.0,1708.8533333333335,5126.56,,0.0,36.17062020198254,1659.5,6638.0,0.25,97.275,194.55,6.0,24,1.0,3.0,2460.039175553648,7380.117526660943,8.0,4.666666666666667,7.0,7.0,0.2,0.4,1.0,0.5
120851,1972-09-25,F,True,True,usa,santa ana,SNA,33.676,-117.868,2022-03-13,53.0,4.057494866529774,8,1,1,1,1,1,0,6.875,17.0,17.0,1.0,384.68,384.68,,0.0,17.11003957979445,2002.0,2002.0,0.0,,0.0,11.0,11,0.0,0.0,2248.270661245433,2248.270661245433,7.0,12.0,8.0,4.0,0.0,0.0,1.0,0.3333333333333333
125845,1983-12-01,F,True,False,usa,el paso,BIF,31.849,-106.38,2022-03-19,42.0,4.041067761806982,9,3,3,3,3,3,0,17.666666666666668,34.666666666666664,34.666666666666664,1.3333333333333333,821.2333333333332,2463.7,213.114,213.114,23.172670802024133,288.0,864.0,0.1111111111111111,,0.0,2.3333333333333335,7,0.6666666666666666,2.0,2705.030401635241,8115.091204905723,8.333333333333334,3.3333333333333335,7.0,3.0,0.0,0.0,1.0,0.3
133058,2005-04-07,F,False,False,usa,austin,AUS,30.194,-97.67,2022-03-27,20.0,4.0191649555099245,8,1,1,1,0,0,0,9.125,19.0,,1.0,423.51,423.51,,0.0,15.626454421956385,,0.0,0.0,,0.0,,0,0.0,0.0,2710.2117253478527,2710.2117253478527,6.0,4.0,3.0,1.0,1.0,0.0,1.0,0.25
149058,1973-01-22,F,False,True,usa,birmingham,BHM,33.563,-86.753,2022-04-14,53.0,3.969883641341547,8,5,5,5,5,5,0,17.75,25.2,25.2,1.2,484.564,2422.82,9.527500000000002,9.527500000000002,21.09757130558414,1254.8,6274.0,0.125,,0.0,6.0,30,0.4,2.0,1907.5407298193677,9537.703649096838,5.8,6.6,25.0,8.0,0.0,0.0,1.0,0.24242424242424243
152583,1986-07-26,F,False,False,usa,colorado springs,COS,38.806,-104.7,2022-04-17,39.0,3.9616700889801506,8,1,1,1,1,1,0,18.625,29.0,29.0,1.0,367.83,367.83,,0.0,16.842508864895404,639.0,639.0,0.0,,0.0,3.0,3,2.0,2.0,2183.938289423512,2183.938289423512,8.0,5.0,3.0,2.0,0.0,0.0,1.0,0.4
153982,1978-08-15,F,False,True,canada,toronto,YKZ,43.862,-79.37,2022-04-19,47.0,3.9561943874058865,8,3,3,0,3,3,0,18.75,36.0,36.0,,,0.0,,0.0,,434.0,1302.0,0.0,,0.0,2.3333333333333335,7,,0.0,,0.0,8.666666666666666,,0.0,0.0,0.0,0.0,0.0,
160754,1977-12-06,F,True,True,usa,new york,LGA,40.777,-73.872,2022-04-26,48.0,3.9370294318959616,8,1,1,1,1,1,0,10.75,22.0,22.0,1.0,93.62,93.62,,0.0,17.80703270470994,642.0,642.0,0.0,,0.0,3.0,3,1.0,1.0,525.7473356312622,525.7473356312622,11.0,4.0,2.0,2.0,0.0,0.0,1.0,0.5
164522,1975-11-07,F,True,False,usa,kansas city,MCI,39.297,-94.714,2022-04-30,50.0,3.9260780287474333,8,1,1,1,1,1,0,11.125,23.0,23.0,1.0,328.32,328.32,16.416,16.416,18.33702028714261,3262.0,3262.0,0.125,,0.0,14.0,14,1.0,1.0,1790.476287089067,1790.476287089067,8.0,15.0,11.0,4.0,0.0,0.0,1.0,0.26666666666666666
167852,2006-02-16,F,False,False,usa,tampa,MCF,27.849,-82.521,2022-05-03,20.0,3.917864476386037,8,0,0,0,0,0,0,7.875,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,0,,0.0,,0.0,,,0.0,0.0,,,,
171470,1999-09-14,F,False,False,usa,atlanta,ATL,33.64,-84.427,2022-05-06,26.0,3.909650924024641,8,2,1,1,0,0,2,55.75,9.0,,1.3333333333333333,5439.88,16319.64,287.825,287.825,23.94982863694719,,0.0,0.375,,0.0,,0,0.3333333333333333,1.0,15577.840202988331,46733.520608964995,181.0,14.333333333333334,30.0,13.0,0.5,0.0,1.0,0.3023255813953488
