married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,age,account_age,total_sesions,total_trips,flight_bookings,return_flight_bookings,hotel_bookings,combo_bookings,cancellations,avg_page_clicks,avg_page_clicks_flight_booked,avg_page_clicks_hotel_booked,avg_seats_booked,avg_flight_amount,total_flight_amount,avg_flight_discount,total_flight_discount,avg_cents_km_flown,avg_hotel_amount,total_hotel_amount,discount_sensitivity,avg_hotel_discount,total_hotel_discount,avg_hotel_nights,total_hotel_nights,avg_checked_bags,total_checked_bags,avg_distance_flown,total_distance_flown,avg_trip_lead_time,avg_trip_duration,weekdays_travelled,weekends_travelled,pct_only_flight_booked,pct_only_hotel_booked,pct_return_flight_booked,weekends_ratio,segment
True,False,usa,new york,LGA,40.777,-73.872,67.0,4.714579055441479,8,2,0,0,2,0,0,10.25,,9.5,,,0.0,,0.0,,1901.0,3802.0,0.125,131.5,131.5,10.0,20,,0.0,,0.0,12.0,,0.0,0.0,0.0,1.0,,,senior_premium_hotel_only_couples
True,False,usa,kansas city,MCI,39.297,-94.714,54.0,4.167008898015058,8,2,2,2,2,2,0,9.125,24.0,24.0,1.5,743.63,1487.26,,0.0,29.04040009380369,115.0,230.0,0.0,,0.0,1.0,2,0.5,1.0,1455.3872113045395,2910.774422609079,6.5,1.5,2.0,1.0,0.0,0.0,1.0,0.3333333333333333,silver_adventurers
True,True,usa,tacoma,TCM,47.138,-122.476,53.0,4.139630390143737,8,2,1,1,2,1,0,16.375,21.0,21.0,1.0,189.91,189.91,,0.0,19.641101794267257,1226.0,2452.0,0.0,,0.0,4.5,9,0.0,0.0,966.900950818502,966.900950818502,7.5,4.0,2.0,2.0,0.0,0.5,1.0,0.5,family_oriented_mature_couples
True,False,usa,boston,BOS,42.364,-71.005,45.0,4.139630390143737,8,5,5,5,5,5,0,15.75,20.8,20.8,1.0,248.532,1242.66,4.9670000000000005,4.9670000000000005,18.218591301086175,559.6,2798.0,0.125,,0.0,4.4,22,0.4,2.0,1324.3623609701458,6621.811804850729,5.6,4.8,14.0,10.0,0.0,0.0,1.0,0.4166666666666667,silver_adventurers
True,True,usa,miami,TNT,25.862,-80.897,47.0,4.120465434633813,8,1,1,1,1,1,1,30.0,23.0,23.0,6.0,83412.36,166824.72,,0.0,103.72461435015327,,0.0,0.125,,0.0,,0,5.0,10.0,13402.85532715452,26805.71065430904,198.5,13.0,18.0,8.0,0.0,0.0,1.0,0.3076923076923077,
False,True,usa,los angeles,LAX,33.942,-118.408,53.0,4.082135523613963,8,5,3,3,4,2,0,20.5,32.666666666666664,29.25,2.0,1708.8533333333337,5126.56,,0.0,36.17062020198254,1659.5,6638.0,0.25,97.275,194.55,6.0,24,1.0,3.0,2460.039175553648,7380.117526660943,8.0,4.666666666666667,7.0,7.0,0.2,0.4,1.0,0.5,married_couples
True,True,usa,santa ana,SNA,33.676,-117.868,53.0,4.073921971252567,8,1,1,1,1,1,0,6.875,17.0,17.0,1.0,384.68,384.68,,0.0,17.11003957979445,2002.0,2002.0,0.0,,0.0,11.0,11,0.0,0.0,2248.270661245433,2248.270661245433,7.0,12.0,8.0,4.0,0.0,0.0,1.0,0.3333333333333333,family_oriented_mature_couples
True,False,usa,el paso,BIF,31.849,-106.38,42.0,4.057494866529774,9,3,3,3,3,3,0,17.666666666666668,34.666666666666664,34.666666666666664,1.3333333333333333,821.2333333333332,2463.7,213.114,213.114,23.172670802024133,288.0,864.0,0.1111111111111111,,0.0,2.3333333333333335,7,0.6666666666666666,2.0,2705.030401635241,8115.091204905723,8.333333333333334,3.3333333333333335,7.0,3.0,0.0,0.0,1.0,0.3,silver_adventurers
False,False,usa,austin,AUS,30.194,-97.67,21.0,4.035592060232717,8,1,1,1,0,0,0,9.125,19.0,,1.0,423.51,423.51,,0.0,15.626454421956383,,0.0,0.0,,0.0,,0,0.0,0.0,2710.2117253478527,2710.2117253478527,6.0,4.0,3.0,1.0,1.0,0.0,1.0,0.25,
False,True,usa,birmingham,BHM,33.563,-86.753,53.0,3.98631074606434,8,5,5,5,5,5,0,17.75,25.2,25.2,1.2,484.564,2422.82,9.527500000000002,9.527500000000002,21.09757130558414,1254.8,6274.0,0.125,,0.0,6.0,30,0.4,2.0,1907.5407298193677,9537.703649096838,5.8,6.6,25.0,8.0,0.0,0.0,1.0,0.2424242424242424,
